Номер,Слово,Встречаемость
1685,впервые,1
1686,стихи,4
1687,цензурные,1
1688,пропуски,1
1689,восстанавливаются,1
1690,рукописи,2
1691,часть,2
1692,которой,2
1693,авторизованная,1
1694,копия,1
1695,автограф,1
1696,заглавный,1
1697,эпиграф,1
1698,некоторые,2
1699,ирли,1
1700,оп,1
1701,тетрадь,1
1702,лл,1
1703,об,1
1704,обложке,1
1705,тетради,1
1706,имеется,1
1707,помета,2
1708,августа,1
1709,эта,1
1710,является,1
1711,основанием,1
1712,датировки,1
1713,поэмы,6
1714,указанная,1
1715,издании,1
1716,стихотворений,2
1717,дата,1
1718,точна,1
1719,отличия,1
1720,текста,1
1721,незначительны,1
1722,изменено,1
1723,название,1
1724,первоначально,1
1725,озаглавлена,1
1726,бэри,3
1727,сделано,1
1728,авторских,1
1729,поправок,1
1730,связана,1
1731,более,1
1732,ранними,1
1733,исповедью,1
1734,боярином,1
1735,оршей,1
1736,исповеди,3
1737,боярина,4
1738,оршу,1
1739,ряд,1
1740,стихов,1
1741,стороны,1
1742,многие,1
1743,орши,3
1744,впоследствии,1
1745,включены,1
1746,текст,1
1747,почти,2
1748,совпадают,1
1749,существует,1
1750,рассказ,2
1751,п,4
1752,висковатова,2
1753,возникновении,1
1754,замысла,1
1755,основанный,1
1756,свидетельствах,1
1757,шан-гирея,1
1758,хастатова,1
1759,поэт,1
1760,странствуя,1
1761,году,2
1762,старой,1
1763,военно-грузинской,1
1764,дороге,1
1765,наткнулся,1
1766,мцхете,1
1767,одинокого,1
1768,монаха,1
1769,вернее,1
1770,старого,1
1771,монастырского,1
1772,служку,1
1773,по-грузински,1
1774,сторож,1
1775,братии,2
1776,упраздненного,1
1777,близлежащего,1
1778,монастыря,1
1779,лермонтов,5
1780,разговорился,1
1781,родом,1
1782,горец,1
1783,плененный,1
1784,ребенком,1
1785,генералом,1
1786,ермоловым,1
1787,время,1
1788,экспедиции,1
1789,собою,1
1790,оставил,1
1791,заболевшего,1
1792,мальчика,1
1793,монастырской,1
1794,свыкнуться,1
1795,монастырем,1
1796,тосковал,1
1797,попытки,2
1798,бегству,1
1799,последствием,1
1800,такой,1
1801,долгая,1
1802,приведшая,1
1803,могилы,2
1804,излечившись,1
1805,дикарь,1
1806,угомонился,1
1807,монастыре,1
1808,особенно,1
1809,привязался,1
1810,старику,1
1811,монаху,1
1812,любопытный,1
1813,произвел,1
1814,впечатление,1
1815,решился,1
1816,воспользоваться,1
1817,тем,1
1818,подходящего,1
1819,боярине,1
1820,орше,1
1821,действие,1
1822,испании,1
1823,литовской,1
1824,границы,1
1825,герое,1
1826,отразить,1
1827,симпатичную,1
1828,удаль,1
1829,непреклонных,1
1830,свободных,1
1831,сынов,1
1832,кавказа,2
1833,самой,1
1834,поэме,2
1835,изобразить,1
1836,красоты,1
1837,кавказской,1
1838,русск,1
1839,старина,1
1840,литературе,1
1841,лермонтове,1
1842,указывалось,1
1843,неточности,1
1844,приведенном,1
1845,рассказе,1
1846,см,3
1847,ираклий,2
1848,андроников,2
1849,изд,2
1850,советский,2
1851,писатель,2
1852,состоит,1
1853,небольших,1
1854,глав,1
1855,целиком,1
1856,представляет,1
1857,монолог,1
1858,героя,2
1859,начале,1
1860,описал,1
1861,древний,1
1862,мцхетский,1
1863,собор,1
1864,грузинских,1
1865,царей,1
1866,ираклия,1
1867,георгия,1
1868,котором,1
1869,состоялось,1
1870,присоединение,1
1871,грузии,1
1872,центральный,1
1873,эпизод,1
1874,битва,1
1875,барсом,1
1876,основан,1
1877,мотивах,1
1878,грузинской,2
1879,народной,1
1880,поэзии,2
1881,частности,1
1882,хевсурской,1
1883,песни,2
1884,тигре,1
1885,юноше,1
1886,тема,1
1887,нашла,1
1888,отражение,2
1889,шота,1
1890,руставели,1
1891,витязь,1
1892,тигровой,1
1893,шкуре,1
1894,известны,1
1895,вариантов,1
1896,древней,1
1897,юноша,1
1898,тигр,1
1899,опубликованные,1
1900,г,2
1901,шанидзе,1
1902,л,1
1903,семенов,1
1904,фольклор,1
1905,пятигорск,1
1906,революционным,1
1907,демократам,1
1908,бунтарский,1
1909,пафос,1
1910,огненная,1
1911,душа,1
1912,исполинская,1
1913,натура,1
1914,этого,1
1915,любимый,1
1916,идеал,2
1917,нашего,1
1918,поэта,1
1919,собственной,2
1920,личности,1
1921,веет,1
1922,собственным,1
1923,духом,1
1924,поражает,1
1925,мощью,1
1926,писал,1
1927,белинский,2
1928,т,1
1929,мысли,1
1930,н,2
1931,огарева,1
1932,самый,1
1933,ясный,1
1934,единственный,1
1935,огарев,1
1936,предисловие,1
1937,сб,1
1938,русская,1
1939,потаенная,1
1940,литература,1
1941,столетия,1
1942,ч,1
1943,лондон,1
1944,сноска,1
1945,грузинском,1
1946,языке,1
1947,значит,1
1948,неслужащий,1
1949,нечто,1
1950,вроде,1
1951,послушника,1
1952,примечание,1
